checkpoint,color_attr,colors,counting,position,single_object,two_object
./results/dpo_method_2/checkpoint-100,0.05,0.7686170212765957,0.321875,0.055,0.9875,0.3838383838383838
./results/dpo_method_2/checkpoint-200,0.075,0.7792553191489362,0.440625,0.055,0.984375,0.4393939393939394
./results/dpo_method_2/checkpoint-300,0.0575,0.7659574468085106,0.4125,0.065,0.9875,0.3888888888888889
./results/dpo_method_2/checkpoint-400,0.045,0.7367021276595744,0.309375,0.1025,0.98125,0.39141414141414144
./results/dpo_method_2/checkpoint-500,0.06,0.7526595744680851,0.371875,0.0825,0.98125,0.43434343434343436
./results/dpo_method_2/checkpoint-600,0.0925,0.7925531914893617,0.35,0.1075,1.0,0.45707070707070707
./results/dpo_method_2/checkpoint-700,0.045,0.7393617021276596,0.340625,0.0875,0.984375,0.4065656565656566
./results/dpo_method_2/checkpoint-800,0.0675,0.7473404255319149,0.303125,0.0825,0.984375,0.42424242424242425
./results/dpo_method_2/checkpoint-900,0.065,0.7446808510638298,0.33125,0.075,0.978125,0.3888888888888889
./results/dpo_method_2/checkpoint-1000,0.0925,0.7606382978723404,0.371875,0.0525,0.965625,0.41414141414141414
./results/dpo_method_2/checkpoint-1100,0.05,0.7367021276595744,0.39375,0.065,0.98125,0.4217171717171717
./results/dpo_method_2/checkpoint-1200,0.0375,0.7180851063829787,0.334375,0.065,0.9625,0.44696969696969696
./results/dpo_method_2/checkpoint-1300,0.075,0.7154255319148937,0.303125,0.0725,0.971875,0.5
./results/dpo_method_2/checkpoint-1400,0.055,0.7446808510638298,0.353125,0.0525,0.95625,0.3611111111111111
./results/dpo_method_2/checkpoint-1500,0.0675,0.6968085106382979,0.371875,0.075,0.9875,0.48484848484848486
./results/dpo_method_2/checkpoint-1600,0.0625,0.7101063829787234,0.375,0.0975,0.98125,0.4823232323232323
./results/dpo_method_2/checkpoint-1700,0.0625,0.7287234042553191,0.35,0.07,0.971875,0.45454545454545453
./results/dpo_method_2/checkpoint-1800,0.0525,0.7101063829787234,0.30625,0.0675,0.965625,0.4696969696969697
./results/dpo_method_2/checkpoint-1900,0.0725,0.7154255319148937,0.325,0.0725,0.984375,0.3888888888888889
./results/dpo_method_2/checkpoint-2000,0.0525,0.7101063829787234,0.353125,0.08,0.978125,0.5176767676767676
./results/dpo_method_2_up/checkpoint-100,0.0675,0.7606382978723404,0.44375,0.0525,0.975,0.36363636363636365
./results/dpo_method_2_up/checkpoint-200,0.075,0.7367021276595744,0.415625,0.05,0.959375,0.37626262626262624
./results/dpo_method_2_up/checkpoint-300,0.065,0.723404255319149,0.496875,0.035,0.959375,0.4015151515151515
./results/dpo_method_2_up/checkpoint-400,0.0525,0.7313829787234043,0.446875,0.0375,0.975,0.3813131313131313
./results/dpo_method_2_up/checkpoint-500,0.0325,0.7367021276595744,0.471875,0.035,0.984375,0.41414141414141414
./results/dpo_method_2_up/checkpoint-600,0.06,0.6728723404255319,0.45625,0.0525,0.96875,0.4494949494949495
./results/dpo_method_2_up/checkpoint-700,0.06,0.6648936170212766,0.4625,0.0425,0.965625,0.3813131313131313
